"id:ID","uuid","uri"
"63046","66199425-2b2c-46b7-85a7-c554b0b86fab","https://ct.d4k.dk/cdisc/dataset/cs/2016-12-16/send"
"63047","cd916347-2c79-4b80-a0e7-b798df9c6814","https://ct.d4k.dk/cdisc/dataset/cs/2017-03-31/adam"
"63048","48177fd3-22c3-4e32-b7a9-f282f90c3672","https://ct.d4k.dk/cdisc/dataset/cs/2017-03-31/protocol"
"63049","875e69a6-de13-47ac-a7a8-ff3341bce092","https://ct.d4k.dk/cdisc/dataset/cs/2017-03-31/sdtm"
"63050","94972499-f625-44b7-9e1d-35925615e94f","https://ct.d4k.dk/cdisc/dataset/cs/2017-03-31/send"
"63051","594d0ee3-1f72-4802-b163-1d751b7e482a","https://ct.d4k.dk/cdisc/dataset/cs/2017-06-30/protocol"
"63052","a8da24b4-d290-4b4b-9bdc-3bd87432b7d1","https://ct.d4k.dk/cdisc/dataset/cs/2017-06-30/sdtm"
"63053","2acad84b-d5a6-4cca-bf83-f2d358c9aed1","https://ct.d4k.dk/cdisc/dataset/cs/2017-06-30/send"
"63054","f4a7ee2b-2ac0-4e01-8e0d-190efe4c74b9","https://ct.d4k.dk/cdisc/dataset/cs/2017-09-29/adam"
"63055","58a95990-7fc0-4f0c-8223-99728801bffb","https://ct.d4k.dk/cdisc/dataset/cs/2017-09-29/cdash"
"63056","945b4eb2-ef95-4822-8687-7f7eb9ee51e7","https://ct.d4k.dk/cdisc/dataset/cs/2017-09-29/protocol"
"63057","c31d7f96-5b07-4b69-b1ed-9de845f231b2","https://ct.d4k.dk/cdisc/dataset/cs/2017-09-29/sdtm"
"63058","2a2c5a28-76f5-4f7d-9d01-df926a558622","https://ct.d4k.dk/cdisc/dataset/cs/2017-09-29/send"
"63059","c09500de-aca7-4e56-b2eb-c5e3ebfc8aff","https://ct.d4k.dk/cdisc/dataset/cs/2017-12-22/sdtm"
"63060","655d183e-e0f8-4ee9-b44b-f1a72305ad02","https://ct.d4k.dk/cdisc/dataset/cs/2017-12-22/send"
"63061","78dad8a9-e95c-4e9a-bf38-4f0e43b0e805","https://ct.d4k.dk/cdisc/dataset/cs/2018-03-30/cdash"
